Road number,No. of signals,TCI,Road condition,lanes,Speed limit zone,TT_60 kmph,Total_TT,,,,,No. of signals,TCI,Road condition,lanes,Speed limit zone,TT_60 kmph,Total_TT,,,,
Rd_001,4,2,5,2,2,10,16,,,,Minimum,0,1,1,1,0,4,4,,,,
Rd_002,3,1,4,1,0,12,18,,,,Q1,2,1,1,1,0,6,10,,,,
Rd_003,5,3,5,2,1,9,15,,,,Median,3,1,2,2,1,8.5,13,,,,
Rd_004,2,1,5,1,0,5,7,,,,Q3,5,3,2,2,2.5,11,16.5,,,,
Rd_005,1,1,4,1,0,7,12,,,,Maximum,8,3,4,4,5,23,32,,,,
Rd_006,0,1,2,1,0,4,9,,,,,,,,,,,,,,,
Rd_007,6,3,5,2,5,8,17,,,,Mean,3.633333333,1.766666667,4.7,1.9,1.3,9.433333333,13.96666667,,,,
Rd_008,4,2,5,2,0,5,13,,,,Range,8,2,3,3,5,19,28,,,,
Rd_009,3,1,5,1,1,9,11,,,,,,,,,,,,,,,
Rd_010,5,3,5,2,2,7,15,,,,,,,,,,,,,,,
Rd_011,5,2,5,2,3,9,18,,,,,,,,,,,,,,,
Rd_012,3,1,5,1,0,7,8,,,,,,,,,,,,,,,
Rd_013,7,3,5,4,3,15,20,,,,,,,,,,,,,,,
Rd_014,4,1,5,2,1,8,10,,,,,,,,,,,,,,,
Rd_015,2,1,5,1,0,6,10,,,,,,,,,,,,,,,
Rd_016,7,3,5,4,3,11,16,,,,,,,,,,,,,,,
Rd_017,1,1,5,1,0,4,4,,,,,,,,,,,,,,,
Rd_018,8,3,5,4,4,20,32,,,,,,,,,,,,,,,
Rd_019,2,2,5,1,0,6,7,,,,,,,,,,,,,,,
Rd_020,5,2,4,2,4,13,18,,,,,,,,,,,,,,,
Rd_021,4,2,5,2,1,11,13,,,,,,,,,,,,,,,
Rd_022,3,1,5,1,0,9,14,,,,,,,,,,,,,,,
Rd_023,7,3,5,4,2,17,23,,,,,,,,,,,,,,,
RD_024,2,1,4,1,0,8,11,,,,,,,,,,,,,,,
Rd_025,1,1,4,1,0,5,7,,,,,,,,,,,,,,,
Rd_026,0,1,4,1,0,4,5,,,,,,,,,,,,,,,
Rd_027,3,1,5,2,1,10,12,,,,,,,,,,,,,,,
Rd_028,2,1,5,2,1,9,13,,,,,,,,,,,,,,,
Rd_029,7,3,5,4,4,23,29,,,,,,,,,,,,,,,
Rd_030,3,2,5,2,1,12,16,,,,,,,,,,,,,,,
